2008-11-21,81.71
2008-11-24,85.01
2008-11-25,82.74
2008-11-26,84.2
2008-11-28,84.17
2008-12-01,80.72
2008-12-02,79.65
2008-12-03,80.1
2008-12-04,79.17
2008-12-05,76.65
2008-12-08,78.32
2008-12-09,73.67
2008-12-10,71.39
2008-12-11,74.53
2008-12-12,74.62
2008-12-15,73.29
2008-12-16,71.83
2008-12-17,70.9
2008-12-18,69.93
2008-12-19,70.79
2008-12-22,68.05
2008-12-23,67.5
2008-12-24,65.68
2008-12-26,68.77
2008-12-29,69.89
2008-12-30,69.71
2008-12-31,73.51
2009-01-02,74.2
2009-01-05,74.71
2009-01-06,74.61
2009-01-07,72.69
2009-01-08,73.05
2009-01-09,74.04
2009-01-12,73.04
2009-01-13,73.3
2009-01-14,73.44
2009-01-15,73.25
2009-01-16,72.58
2009-01-20,69.55
2009-01-21,67.04
2009-01-22,66.82
2009-01-23,68.57
2009-01-26,66.95
2009-01-27,66.87
2009-01-28,67.96
2009-01-29,68.24
2009-01-30,67.48
2009-02-02,66.22
2009-02-03,66.39
2009-02-04,67.73
2009-02-05,69.2
2009-02-06,69.84
2009-02-09,69.78
2009-02-10,68.93
2009-02-11,70.22
2009-02-12,70.56
2009-02-13,69.56
2009-02-17,66.22
2009-02-18,63.27
2009-02-19,66.66
2009-02-20,66.74
2009-02-23,67.62
2009-02-24,68.16
2009-02-25,68.28
2009-02-26,69.71
2009-02-27,68.29
2009-03-02,64.83
2009-03-03,64.94
2009-03-04,65.78
2009-03-05,65.8
2009-03-06,66.12
2009-03-09,65.42
2009-03-10,66.09
2009-03-11,65.32
2009-03-12,68.04
2009-03-13,66.94
2009-03-16,66.38
2009-03-17,68.31
2009-03-18,69.81
2009-03-19,74.43
2009-03-20,75.44
2009-03-23,77.6
2009-03-24,76.77
2009-03-25,75.49
2009-03-26,76.44
2009-03-27,75.33
2009-03-30,73.09
2009-03-31,73.5
2009-04-01,72.32
2009-04-02,75.98
2009-04-03,76.71
2009-04-06,76.57
2009-04-07,75.66
2009-04-08,75.29
2009-04-09,76.18
2009-04-13,74.88
2009-04-14,74.81
2009-04-15,74.27
2009-04-16,74.6
2009-04-17,74.08
2009-04-20,71.85
2009-04-21,71.9
2009-04-22,71.62
2009-04-23,70.64
2009-04-24,71.6
2009-04-27,70.59
2009-04-28,69.93
2009-04-29,71.31
2009-04-30,71.22
2009-05-01,73.42
2009-05-04,75.11
2009-05-05,73.98
2009-05-06,75.06
2009-05-07,74.87
2009-05-08,75.5
2009-05-11,75.69
2009-05-12,75.74
2009-05-13,75.11
2009-05-14,75.25
2009-05-15,72.93
2009-05-18,74.65
2009-05-19,75.02
2009-05-20,75.24
2009-05-21,74.87
2009-05-22,75.54
2009-05-26,75.5
2009-05-27,75.76
2009-05-28,77.33
2009-05-29,78.41
2009-06-01,80.05
2009-06-02,81.67
2009-06-03,81.5
2009-06-04,83.29
2009-06-05,83.68
2009-06-08,84.08
2009-06-09,84.87
2009-06-10,85.35
2009-06-11,85.93
2009-06-12,85.43
2009-06-15,85.01
2009-06-16,84.67
2009-06-17,85.0
2009-06-18,84.68
2009-06-19,83.74
2009-06-22,82.04
2009-06-23,83.08
2009-06-24,82.82
2009-06-25,83.35
2009-06-26,82.75
2009-06-29,84.09
2009-06-30,82.82
2009-07-01,82.7
2009-07-02,80.95
2009-07-06,78.98
2009-07-07,78.44
2009-07-08,76.89
2009-07-09,78.06
2009-07-10,77.64
2009-07-13,77.47
2009-07-14,77.39
2009-07-15,79.38
2009-07-16,80.5
